Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
Minnesota,2022,6,2/12/2022,1154,1037,11,203,29,52,,42,16,11,21,200,55,171,128
Minnesota,2022,7,2/19/2022,1007,912,,176,23,53,11,43,,,31,154,53,125,81
Minnesota,2022,8,2/26/2022,1012,908,10,210,19,56,12,36,17,14,27,167,51,85,55
Minnesota,2022,9,3/5/2022,936,840,13,181,21,57,,47,16,12,23,161,41,65,46
Minnesota,2022,10,3/12/2022,943,858,11,198,27,45,13,40,12,,17,175,62,57,33
Minnesota,2022,11,3/19/2022,938,857,,192,27,36,,41,,,21,205,38,30,14
Minnesota,2022,12,3/26/2022,942,863,11,201,28,49,11,39,15,,19,163,60,35,20
Minnesota,2022,13,4/2/2022,898,805,,193,22,47,,33,13,14,22,171,39,25,11
Minnesota,2022,14,4/9/2022,901,806,,195,26,23,10,36,,,20,171,55,24,14
Minnesota,2022,15,4/16/2022,903,819,,204,19,37,,33,10,10,23,167,47,24,14
Minnesota,2022,16,4/23/2022,957,864,,219,20,53,11,39,,11,28,180,49,24,
Minnesota,2022,17,4/30/2022,917,830,11,192,26,41,,53,,,10,180,43,18,
Minnesota,2022,18,5/7/2022,890,788,13,172,29,45,,42,15,11,20,155,41,31,22
Minnesota,2022,19,5/14/2022,918,821,,190,31,46,10,36,12,13,16,171,42,32,18
Minnesota,2022,20,5/21/2022,876,784,10,193,21,51,,34,16,11,18,147,45,36,22
Minnesota,2022,21,5/28/2022,940,828,,189,37,52,,41,10,,20,175,39,53,31
Minnesota,2022,22,6/4/2022,891,799,,174,30,45,,30,,,20,186,37,44,31
Minnesota,2022,23,6/11/2022,869,780,10,194,20,42,,39,11,11,18,158,37,41,16
Minnesota,2022,24,6/18/2022,891,793,,187,28,34,,37,15,13,19,158,50,40,29
Minnesota,2022,25,6/25/2022,923,811,10,193,32,37,,43,17,10,11,156,49,47,22
Minnesota,2022,26,7/2/2022,915,821,12,202,27,38,,44,11,,14,167,42,35,24
Minnesota,2022,27,7/9/2022,914,804,,207,15,41,,40,,15,18,179,30,44,28
Minnesota,2022,28,7/16/2022,847,753,,177,23,29,,45,12,14,26,164,36,46,19
Minnesota,2022,29,7/23/2022,905,820,,194,43,34,,32,12,12,22,154,38,47,32
Minnesota,2022,30,7/30/2022,894,801,,197,22,39,,37,16,,26,162,40,31,10
Minnesota,2022,31,8/6/2022,911,836,12,191,27,39,,42,15,16,21,190,38,31,18
Minnesota,2022,32,8/13/2022,822,761,12,191,23,29,,37,11,,23,136,41,37,22
Minnesota,2022,33,8/20/2022,850,803,,221,36,52,,29,15,,24,142,37,32,22
Minnesota,2022,34,8/27/2022,841,802,13,195,28,23,,26,11,10,24,179,45,54,29
Minnesota,2022,35,9/3/2022,830,790,,191,20,43,,40,21,12,27,150,44,36,23
Minnesota,2022,36,9/10/2022,868,839,10,198,23,48,,38,10,13,24,171,43,41,28
Minnesota,2022,37,9/17/2022,781,771,10,186,30,37,,41,11,11,15,145,37,43,24
Minnesota,2022,38,9/24/2022,708,708,14,162,31,28,,34,16,,14,141,32,30,20
Mississippi,2020,1,1/4/2020,673,600,,115,,42,19,52,10,13,,169,34,0,0
Mississippi,2020,2,1/11/2020,648,613,,130,21,30,23,54,,23,,164,28,0,0
Mississippi,2020,3,1/18/2020,624,562,,109,19,35,17,38,,17,10,157,35,0,0
Mississippi,2020,4,1/25/2020,612,574,,115,22,32,16,44,15,22,,146,31,0,0
Mississippi,2020,5,2/1/2020,608,553,,125,20,29,17,52,13,11,,149,30,0,0
Mississippi,2020,6,2/8/2020,703,633,,115,35,38,22,41,,18,,196,40,,
Mississippi,2020,7,2/15/2020,648,593,,120,24,35,22,40,,17,,168,41,,0
Mississippi,2020,8,2/22/2020,625,572,,111,21,30,20,52,12,12,,175,34,0,0
Mississippi,2020,9,2/29/2020,665,617,,132,20,39,25,48,13,17,,164,36,0,0
Mississippi,2020,10,3/7/2020,663,602,,131,28,28,23,49,13,11,,166,26,0,0
Mississippi,2020,11,3/14/2020,623,571,,123,17,31,26,40,10,17,,150,24,0,0
Mississippi,2020,12,3/21/2020,625,571,,124,24,37,17,42,,16,,151,34,,
Mississippi,2020,13,3/28/2020,698,647,,148,31,38,25,60,,19,,144,40,15,15
Mississippi,2020,14,4/4/2020,707,658,,122,21,30,24,54,,19,,172,36,55,53
Mississippi,2020,15,4/11/2020,699,655,,99,40,45,24,41,12,13,,146,29,67,63
Mississippi,2020,16,4/18/2020,732,672,,125,26,44,20,45,10,20,,164,38,68,61
Mississippi,2020,17,4/25/2020,750,687,11,125,28,48,19,33,10,13,,190,32,68,63
Mississippi,2020,18,5/2/2020,751,684,,117,41,35,17,39,11,10,,171,38,100,92
Mississippi,2020,19,5/9/2020,748,695,,119,31,37,14,50,10,10,,184,35,88,78
Mississippi,2020,20,5/16/2020,775,699,,119,30,43,25,45,11,16,,162,34,108,100
Mississippi,2020,21,5/23/2020,725,667,,102,28,43,14,40,,13,,171,28,102,94
Mississippi,2020,22,5/30/2020,750,689,,116,25,38,12,41,,16,,168,30,108,97
Mississippi,2020,23,6/6/2020,728,667,,134,22,26,,50,11,18,,174,30,90,80
Mississippi,2020,24,6/13/2020,702,636,,120,26,37,,39,,10,,173,31,70,66
Mississippi,2020,25,6/20/2020,743,664,,112,29,37,12,33,14,17,,176,44,76,68
Mississippi,2020,26,6/27/2020,721,658,,119,29,38,18,35,,12,,162,40,70,58
Mississippi,2020,27,7/4/2020,711,640,10,100,27,49,13,41,,18,,145,35,91,81
Mississippi,2020,28,7/11/2020,797,739,,123,35,46,13,48,,12,,170,37,123,112
Mississippi,2020,29,7/18/2020,784,712,,124,33,31,15,30,,20,,157,43,130,120
Mississippi,2020,30,7/25/2020,885,818,,129,42,35,14,55,10,12,,184,37,165,151
Mississippi,2020,31,8/1/2020,872,809,,138,34,46,15,39,,16,,161,26,231,211
Mississippi,2020,32,8/8/2020,915,834,,136,22,42,19,43,,16,,165,34,204,181
Mississippi,2020,33,8/15/2020,860,792,,134,21,29,13,36,,12,,172,42,197,176
Mississippi,2020,34,8/22/2020,813,751,10,111,31,43,18,37,,13,,149,34,192,172
Mississippi,2020,35,8/29/2020,813,743,,133,25,43,12,33,,12,11,170,30,160,138
Mississippi,2020,36,9/5/2020,736,671,,109,29,36,21,33,,17,,160,22,116,99
Mississippi,2020,37,9/12/2020,745,674,,121,27,37,10,34,,13,10,156,39,109,92
Mississippi,2020,38,9/19/2020,738,673,,126,26,38,14,35,,14,,159,34,106,94
Mississippi,2020,39,9/26/2020,723,668,,122,31,43,,25,11,11,,173,35,103,90
Mississippi,2020,40,10/3/2020,728,663,,105,25,28,20,38,,13,,183,37,89,77
Mississippi,2020,41,10/10/2020,761,693,,143,29,41,17,35,,13,,167,39,77,69
Mississippi,2020,42,10/17/2020,680,614,,111,37,37,12,43,,15,,138,32,79,64
Mississippi,2020,43,10/24/2020,727,672,,126,23,49,15,51,10,12,,152,29,90,77
Mississippi,2020,44,10/31/2020,716,653,,139,28,26,11,28,,15,,158,37,96,76
Mississippi,2020,45,11/7/2020,750,677,,112,23,33,13,40,,12,,171,45,111,96
Mississippi,2020,46,11/14/2020,785,718,,140,29,39,18,37,,10,,165,32,121,99
Mississippi,2020,47,11/21/2020,793,733,,103,31,33,14,44,12,17,,180,39,142,125
Mississippi,2020,48,11/28/2020,820,763,,116,36,49,15,50,11,16,,159,39,162,138
Mississippi,2020,49,12/5/2020,850,804,,126,28,45,18,38,11,15,,157,42,206,176
Mississippi,2020,50,12/12/2020,959,906,11,146,33,47,17,37,,13,,184,33,266,236
Mississippi,2020,51,12/19/2020,923,875,,142,33,52,18,36,10,17,,177,38,238,210
Mississippi,2020,52,12/26/2020,995,926,,143,33,45,20,55,10,15,,175,40,257,241
Mississippi,2020,53,1/2/2021,1068,991,,130,25,54,23,55,,19,,189,46,298,256
Mississippi,2021,1,1/9/2021,1050,987,10,122,39,43,16,50,,,,208,52,343,297
Mississippi,2021,2,1/16/2021,1059,990,,110,44,42,16,46,,23,,198,56,331,298
Mississippi,2021,3,1/23/2021,1026,960,,115,40,51,25,48,11,15,,199,32,307,265
Mississippi,2021,4,1/30/2021,922,845,,120,29,37,19,41,,19,,186,58,233,195
Mississippi,2021,5,2/6/2021,867,800,,109,23,32,12,46,,13,11,164,39,227,194
Mississippi,2021,6,2/13/2021,793,718,,119,29,37,13,39,,14,,174,28,150,127
Mississippi,2021,7,2/20/2021,810,753,,121,34,29,13,42,,14,,208,43,112,91
Mississippi,2021,8,2/27/2021,845,770,10,135,40,37,17,49,,10,,191,32,115,100
Mississippi,2021,9,3/6/2021,719,643,,105,34,36,15,34,,20,,152,42,86,64
Mississippi,2021,10,3/13/2021,753,687,,123,33,36,14,48,11,11,,187,29,65,49
Mississippi,2021,11,3/20/2021,675,612,,125,24,26,,33,13,11,,153,40,59,46
Mississippi,2021,12,3/27/2021,671,608,,126,25,36,11,32,,15,,171,25,47,31
Mississippi,2021,13,4/3/2021,650,583,,123,27,29,10,38,,10,,138,35,52,39
Mississippi,2021,14,4/10/2021,662,593,,147,19,27,,35,,,,146,31,49,35
Mississippi,2021,15,4/17/2021,654,589,,114,26,27,17,39,,,,152,29,31,25
Mississippi,2021,16,4/24/2021,668,598,,125,28,25,15,44,,15,,157,39,40,27
Mississippi,2021,17,5/1/2021,694,625,,136,24,34,17,44,11,12,,160,30,36,24
Mississippi,2021,18,5/8/2021,636,573,,119,22,25,11,40,,13,,153,37,26,21
Mississippi,2021,19,5/15/2021,631,572,,135,28,31,,34,,10,,141,31,36,31
Mississippi,2021,20,5/22/2021,678,612,10,116,25,31,10,37,,,,170,33,37,28
Mississippi,2021,21,5/29/2021,694,608,,126,22,29,14,35,13,16,,163,35,48,31
Mississippi,2021,22,6/5/2021,628,555,,126,15,31,,36,,11,,153,30,30,25
Mississippi,2021,23,6/12/2021,703,626,,125,36,34,10,51,,11,,162,39,23,16
Mississippi,2021,24,6/19/2021,657,596,,118,27,26,11,40,,15,,168,38,25,18
Mississippi,2021,25,6/26/2021,658,603,,134,18,29,17,33,,10,,169,28,19,12
Mississippi,2021,26,7/3/2021,624,564,,132,21,32,,36,,14,,158,36,18,
Mississippi,2021,27,7/10/2021,662,582,,126,28,20,12,44,,17,,149,32,22,17
Mississippi,2021,28,7/17/2021,710,646,,139,29,32,18,52,,18,,163,33,47,34
Mississippi,2021,29,7/24/2021,734,654,,141,36,25,,33,,15,,151,35,62,58
Mississippi,2021,30,7/31/2021,760,665,,115,29,39,13,26,14,14,,170,23,92,84
Mississippi,2021,31,8/7/2021,852,779,,119,35,32,13,44,,19,,141,39,181,167
Mississippi,2021,32,8/14/2021,934,862,,117,28,30,11,53,,,,203,40,230,214
Mississippi,2021,33,8/21/2021,993,930,,124,36,35,15,44,,12,,169,39,329,303
Mississippi,2021,34,8/28/2021,1041,976,,118,33,33,14,46,12,21,,188,36,338,321
Mississippi,2021,35,9/4/2021,964,899,,129,29,37,,45,,,,164,28,314,291
Mississippi,2021,36,9/11/2021,1036,961,,124,32,34,15,40,,15,,205,41,308,290
Mississippi,2021,37,9/18/2021,953,876,,143,38,29,13,38,18,20,,164,42,254,224
Mississippi,2021,38,9/25/2021,879,815,,132,21,34,12,46,10,20,,170,35,201,179
Mississippi,2021,39,10/2/2021,790,721,,129,22,37,14,35,12,15,,164,24,149,133
Mississippi,2021,40,10/9/2021,670,615,,107,24,29,13,31,,19,,130,31,97,90
Mississippi,2021,41,10/16/2021,701,638,,126,18,37,,35,10,,,147,38,87,79
Mississippi,2021,42,10/23/2021,743,682,13,120,28,24,20,37,15,11,10,170,23,86,78
Mississippi,2021,43,10/30/2021,688,616,10,113,32,31,12,36,,11,,163,34,54,43
Mississippi,2021,44,11/6/2021,748,669,,136,35,29,14,42,,16,,172,43,53,43
Mississippi,2021,45,11/13/2021,722,665,,133,28,33,13,38,13,11,11,180,26,42,35
Mississippi,2021,46,11/20/2021,696,637,,114,31,35,13,45,12,18,,168,38,36,27
Mississippi,2021,47,11/27/2021,722,662,,150,18,34,11,34,,11,,173,41,43,34
Mississippi,2021,48,12/4/2021,706,643,,111,32,38,15,40,14,18,11,160,38,32,25
Mississippi,2021,49,12/11/2021,710,648,,127,29,29,19,38,12,11,,165,34,41,28
Mississippi,2021,50,12/18/2021,754,694,,138,30,30,17,56,,19,,163,45,52,39
Mississippi,2021,51,12/25/2021,700,643,,109,30,29,17,47,,14,,161,39,57,47
Mississippi,2021,52,1/1/2022,825,745,,125,27,25,16,61,11,18,,188,47,77,63
Mississippi,2022,1,1/8/2022,819,758,,123,23,38,13,51,,19,,179,43,127,106
Mississippi,2022,2,1/15/2022,940,877,,150,32,51,17,58,,22,,184,38,205,169
Mississippi,2022,3,1/22/2022,1003,944,,128,41,37,15,49,,20,,204,35,281,230
Mississippi,2022,4,1/29/2022,998,935,,112,33,46,16,49,,11,,210,45,299,248
Mississippi,2022,5,2/5/2022,1014,935,,137,34,40,10,46,,15,,199,37,320,256
Mississippi,2022,6,2/12/2022,927,858,,129,31,43,13,38,,21,,195,42,247,191
Mississippi,2022,7,2/19/2022,891,831,,157,33,26,13,44,,,,181,37,194,155
Mississippi,2022,8,2/26/2022,739,683,,118,23,36,20,44,,19,,154,38,117,88
Mississippi,2022,9,3/5/2022,754,688,,128,34,31,11,51,18,17,,164,32,104,76
Mississippi,2022,10,3/12/2022,698,634,,125,24,31,18,49,11,10,,162,30,69,46
Mississippi,2022,11,3/19/2022,712,655,,136,25,24,12,43,,14,,195,40,43,20
Mississippi,2022,12,3/26/2022,635,576,,119,27,33,16,41,,10,,143,26,29,12
Mississippi,2022,13,4/2/2022,619,559,,111,14,20,12,28,,10,,173,42,25,14
Mississippi,2022,14,4/9/2022,657,606,,117,22,32,,43,,,,174,36,27,12
Mississippi,2022,15,4/16/2022,687,636,,138,24,26,15,42,12,11,,169,38,29,11
Mississippi,2022,16,4/23/2022,644,585,,146,16,36,17,31,,11,,147,46,18,
Mississippi,2022,17,4/30/2022,562,491,,122,17,22,,47,,11,,122,29,10,
Mississippi,2022,18,5/7/2022,621,552,,106,26,31,,42,,14,,149,37,,
Mississippi,2022,19,5/14/2022,633,575,,121,28,40,10,33,,13,,154,32,16,
Mississippi,2022,20,5/21/2022,627,569,,120,22,27,13,41,11,17,,150,39,,0
Mississippi,2022,21,5/28/2022,593,539,,115,16,31,,36,,16,,142,44,14,
Mississippi,2022,22,6/4/2022,654,593,11,121,23,27,16,38,,11,10,175,33,12,
Mississippi,2022,23,6/11/2022,639,585,,124,22,35,16,36,10,18,,153,39,16,11
Mississippi,2022,24,6/18/2022,602,551,,112,27,29,,33,,14,,150,35,19,13
Mississippi,2022,25,6/25/2022,629,578,,106,19,41,,38,,12,10,162,26,33,16
Mississippi,2022,26,7/2/2022,663,591,,128,22,31,14,40,11,10,12,141,28,30,17
Mississippi,2022,27,7/9/2022,688,618,,128,22,26,,42,,11,,194,21,43,29
Mississippi,2022,28,7/16/2022,664,613,,108,27,28,12,40,,11,13,173,35,51,36
Mississippi,2022,29,7/23/2022,685,612,,112,22,29,10,35,,15,13,172,31,60,39
Mississippi,2022,30,7/30/2022,671,621,,115,30,20,11,41,,24,,160,34,49,23
Mississippi,2022,31,8/6/2022,699,631,,126,22,39,12,52,,20,,159,38,48,32
Mississippi,2022,32,8/13/2022,657,614,,134,12,29,11,34,,11,13,158,35,56,36
Mississippi,2022,33,8/20/2022,626,586,,124,21,27,10,36,11,19,,163,30,38,27
Mississippi,2022,34,8/27/2022,599,570,,110,20,30,16,33,,10,18,142,40,39,23
Mississippi,2022,35,9/3/2022,684,642,,137,26,32,,35,,10,27,163,36,40,22
Mississippi,2022,36,9/10/2022,594,563,,89,28,38,14,35,,12,21,157,27,31,26
Mississippi,2022,37,9/17/2022,517,498,,99,12,27,14,33,,,17,128,27,41,26
Mississippi,2022,38,9/24/2022,471,471,,99,18,27,,24,,,17,131,24,27,16
Missouri,2020,1,1/4/2020,1327,1203,18,262,31,63,23,89,41,29,,322,63,0,0
Missouri,2020,2,1/11/2020,1333,1221,20,242,43,57,32,80,32,29,14,335,65,0,0
Missouri,2020,3,1/18/2020,1334,1223,16,246,31,60,23,90,35,28,10,323,70,0,0
Missouri,2020,4,1/25/2020,1352,1253,31,260,20,60,32,94,35,22,10,331,69,0,0
Missouri,2020,5,2/1/2020,1364,1234,20,279,38,59,43,84,33,39,,296,68,0,0
Missouri,2020,6,2/8/2020,1334,1209,23,258,33,45,29,85,29,52,,324,58,0,0
Missouri,2020,7,2/15/2020,1348,1232,25,273,36,53,28,96,32,31,,291,75,0,0
Missouri,2020,8,2/22/2020,1361,1243,21,255,33,65,44,84,42,41,,338,56,0,0
Missouri,2020,9,2/29/2020,1370,1250,24,237,31,60,44,72,40,39,,327,72,0,0
Missouri,2020,10,3/7/2020,1394,1258,23,272,40,53,41,109,45,27,12,325,64,0,0
Missouri,2020,11,3/14/2020,1301,1174,16,234,37,40,45,94,33,31,11,320,63,0,0
Missouri,2020,12,3/21/2020,1272,1169,22,247,28,47,46,83,36,43,,265,91,,
Missouri,2020,13,3/28/2020,1343,1228,17,262,28,62,39,83,33,28,13,314,72,18,18
Missouri,2020,14,4/4/2020,1301,1202,23,246,29,60,24,91,32,27,11,272,70,57,53
Missouri,2020,15,4/11/2020,1466,1341,13,253,46,65,25,94,37,36,,324,68,99,97
Missouri,2020,16,4/18/2020,1358,1239,,228,41,67,22,71,20,30,15,330,68,94,92
Missouri,2020,17,4/25/2020,1448,1306,20,278,27,54,28,63,33,34,15,298,64,134,130
Missouri,2020,18,5/2/2020,1393,1270,23,246,35,65,19,68,25,35,11,303,65,123,117
Missouri,2020,19,5/9/2020,1427,1264,18,256,32,53,13,58,36,44,11,297,77,126,118
Missouri,2020,20,5/16/2020,1343,1229,19,249,39,52,24,74,22,27,,288,57,93,86
Missouri,2020,21,5/23/2020,1304,1167,16,230,34,37,14,92,28,31,17,307,61,80,72
Missouri,2020,22,5/30/2020,1244,1099,14,247,23,62,17,64,20,32,,252,58,59,53
Missouri,2020,23,6/6/2020,1293,1131,16,277,29,46,15,56,23,25,,295,44,55,52
Missouri,2020,24,6/13/2020,1263,1125,21,257,27,51,15,50,28,33,,287,46,46,43
Missouri,2020,25,6/20/2020,1228,1104,19,239,31,41,18,50,23,23,10,300,70,45,36
Missouri,2020,26,6/27/2020,1284,1143,18,261,39,27,14,72,25,25,,286,74,43,36
Missouri,2020,27,7/4/2020,1284,1124,18,287,41,40,,51,18,27,11,295,61,42,35
Missouri,2020,28,7/11/2020,1295,1153,13,222,37,54,17,59,19,25,15,329,52,43,38
Missouri,2020,29,7/18/2020,1367,1217,17,257,26,53,14,77,26,40,,320,64,49,45
Missouri,2020,30,7/25/2020,1355,1210,10,266,33,53,16,62,28,40,11,309,48,89,76
Missouri,2020,31,8/1/2020,1366,1230,15,249,44,46,14,80,25,30,10,320,74,79,65
Missouri,2020,32,8/8/2020,1355,1226,24,241,37,52,19,64,33,41,13,280,59,99,89
Missouri,2020,33,8/15/2020,1380,1237,18,263,39,49,25,75,30,29,11,283,61,108,99
Missouri,2020,34,8/22/2020,1402,1273,16,295,27,53,20,63,27,33,12,300,67,102,88
Missouri,2020,35,8/29/2020,1382,1243,20,288,27,55,18,66,18,26,,258,69,129,115
Missouri,2020,36,9/5/2020,1410,1251,19,236,42,49,19,69,26,38,17,298,83,113,108
Missouri,2020,37,9/12/2020,1369,1259,13,254,30,40,17,69,30,24,,285,80,155,139
Missouri,2020,38,9/19/2020,1445,1314,21,272,31,53,19,60,29,27,16,325,77,135,125
Missouri,2020,39,9/26/2020,1465,1341,18,273,32,57,20,79,26,28,12,305,57,184,157
Missouri,2020,40,10/3/2020,1522,1395,20,236,41,39,12,63,37,33,12,326,69,242,223
Missouri,2020,41,10/10/2020,1531,1385,16,249,32,66,10,85,23,39,20,282,74,231,216
Missouri,2020,42,10/17/2020,1519,1365,21,223,43,48,14,69,29,30,14,308,69,215,202
Missouri,2020,43,10/24/2020,1577,1460,25,266,36,45,19,61,36,42,16,355,65,257,227
Missouri,2020,44,10/31/2020,1611,1498,14,248,33,69,27,59,36,34,,332,65,308,279
Missouri,2020,45,11/7/2020,1790,1649,19,297,45,73,19,66,29,34,13,359,74,379,339
Missouri,2020,46,11/14/2020,1839,1704,28,275,37,68,13,74,35,33,,348,72,453,404
Missouri,2020,47,11/21/2020,1858,1751,28,261,40,66,36,88,31,47,11,327,64,495,451
Missouri,2020,48,11/28/2020,1908,1784,28,248,46,81,20,56,40,32,11,315,62,590,547
Missouri,2020,49,12/5/2020,1962,1834,25,270,40,62,32,84,22,32,11,352,62,572,531
Missouri,2020,50,12/12/2020,2017,1890,16,281,45,59,19,92,40,40,17,358,79,583,537
Missouri,2020,51,12/19/2020,1890,1747,21,240,47,67,19,75,37,36,17,355,77,513,471
Missouri,2020,52,12/26/2020,1830,1689,23,262,46,62,21,91,30,38,16,300,66,492,450
Missouri,2020,53,1/2/2021,1838,1705,17,255,34,75,24,72,30,42,19,340,72,464,411
Missouri,2021,1,1/9/2021,1754,1623,26,244,38,55,21,80,19,27,19,317,55,453,407
Missouri,2021,2,1/16/2021,1790,1660,21,252,39,56,18,61,31,32,13,350,72,434,397
Missouri,2021,3,1/23/2021,1727,1593,23,294,40,74,31,60,34,40,10,308,62,387,342
Missouri,2021,4,1/30/2021,1619,1508,17,274,50,60,21,76,25,33,12,319,52,304,275
Missouri,2021,5,2/6/2021,1527,1381,23,264,45,59,20,62,28,35,16,290,60,211,176
Missouri,2021,6,2/13/2021,1429,1313,21,239,35,41,19,61,25,27,12,342,70,186,163
Missouri,2021,7,2/20/2021,1514,1388,22,247,45,47,21,89,26,32,11,337,70,141,126
Missouri,2021,8,2/27/2021,1403,1255,24,256,29,45,20,75,25,37,17,320,68,109,82
Missouri,2021,9,3/6/2021,1366,1222,19,269,36,41,17,60,28,29,13,298,77,90,76
Missouri,2021,10,3/13/2021,1314,1196,20,258,29,44,14,62,31,25,14,298,57,72,64
Missouri,2021,11,3/20/2021,1253,1129,10,228,34,53,17,48,37,28,11,298,56,62,51
Missouri,2021,12,3/27/2021,1397,1255,24,265,38,46,17,83,27,35,14,298,71,77,65
Missouri,2021,13,4/3/2021,1289,1149,24,254,33,42,10,57,33,43,19,294,55,62,58
Missouri,2021,14,4/10/2021,1397,1236,19,283,30,40,13,87,29,33,12,318,70,48,39
Missouri,2021,15,4/17/2021,1308,1173,12,255,30,29,20,71,23,30,14,309,74,48,40
Missouri,2021,16,4/24/2021,1308,1165,23,259,48,43,11,64,34,28,,277,67,51,44
Missouri,2021,17,5/1/2021,1306,1169,18,257,45,50,14,63,14,31,12,291,58,64,53
Missouri,2021,18,5/8/2021,1230,1099,23,241,30,31,14,60,30,24,,289,51,47,37
Missouri,2021,19,5/15/2021,1325,1188,17,271,31,44,21,52,23,29,12,293,66,54,42
Missouri,2021,20,5/22/2021,1283,1118,19,238,24,48,13,71,25,22,,305,54,45,40
Missouri,2021,21,5/29/2021,1267,1103,16,245,42,34,13,53,25,38,10,289,49,33,27
Missouri,2021,22,6/5/2021,1325,1186,25,283,38,53,14,64,32,20,,296,54,42,39
Missouri,2021,23,6/12/2021,1350,1183,18,241,47,40,14,68,33,36,12,297,54,64,54
Missouri,2021,24,6/19/2021,1288,1152,18,257,25,48,15,79,21,33,15,293,55,57,54
Missouri,2021,25,6/26/2021,1385,1230,13,271,32,37,21,75,33,28,,306,72,88,81
Missouri,2021,26,7/3/2021,1300,1161,11,239,34,48,12,72,25,38,10,292,64,85,76
Missouri,2021,27,7/10/2021,1393,1251,14,264,36,43,10,93,35,27,,297,75,106,94
Missouri,2021,28,7/17/2021,1456,1306,20,266,33,52,16,74,29,24,16,270,63,170,162
Missouri,2021,29,7/24/2021,1446,1308,15,253,31,54,15,76,18,35,19,312,62,202,189
Missouri,2021,30,7/31/2021,1515,1384,14,266,43,53,22,84,20,32,,305,52,227,220
Missouri,2021,31,8/7/2021,1655,1485,21,270,44,42,21,76,29,31,19,286,59,317,299
Missouri,2021,32,8/14/2021,1661,1502,21,273,31,57,15,87,30,29,,316,64,318,298
Missouri,2021,33,8/21/2021,1646,1497,20,282,26,47,14,66,39,30,10,313,62,313,297
Missouri,2021,34,8/28/2021,1670,1524,29,269,36,56,13,69,36,43,,310,57,338,318
Missouri,2021,35,9/4/2021,1548,1412,24,251,38,48,14,68,23,30,12,310,70,290,271
Missouri,2021,36,9/11/2021,1486,1342,14,252,33,41,20,74,20,18,13,315,71,240,229
Missouri,2021,37,9/18/2021,1523,1396,25,248,35,55,16,84,28,27,15,319,55,261,246
Missouri,2021,38,9/25/2021,1589,1433,18,254,48,57,19,82,31,27,14,269,83,227,213
Missouri,2021,39,10/2/2021,1552,1410,24,292,30,51,21,55,27,38,15,300,72,216,201
Missouri,2021,40,10/9/2021,1411,1271,20,240,33,58,10,58,25,29,16,295,49,178,166
Missouri,2021,41,10/16/2021,1479,1355,24,263,29,43,19,68,27,34,15,318,70,162,151
Missouri,2021,42,10/23/2021,1399,1288,26,271,33,52,13,64,34,24,12,301,79,130,117
Missouri,2021,43,10/30/2021,1432,1302,23,285,34,46,13,71,22,39,13,309,65,128,115
Missouri,2021,44,11/6/2021,1415,1288,25,246,40,41,16,79,30,26,,317,63,118,110
Missouri,2021,45,11/13/2021,1495,1349,24,294,32,50,18,74,30,35,15,336,77,102,95
Missouri,2021,46,11/20/2021,1456,1337,22,269,37,48,13,64,37,36,11,343,61,117,110
Missouri,2021,47,11/27/2021,1486,1367,26,250,49,50,22,76,18,24,14,325,74,143,132
Missouri,2021,48,12/4/2021,1508,1366,30,262,37,50,23,75,18,37,,316,56,164,157
Missouri,2021,49,12/11/2021,1614,1469,17,267,44,51,22,66,30,34,,325,72,224,209
Missouri,2021,50,12/18/2021,1624,1523,30,265,34,62,29,85,32,23,,336,75,263,246
Missouri,2021,51,12/25/2021,1666,1534,26,260,43,49,28,81,25,33,,327,75,284,262
Missouri,2021,52,1/1/2022,1645,1529,21,256,42,56,31,65,19,38,12,354,81,299,276
Missouri,2022,1,1/8/2022,1843,1707,17,268,46,61,29,86,23,35,,400,70,403,363
Missouri,2022,2,1/15/2022,1930,1782,24,263,42,54,24,98,35,43,,371,66,478,431
Missouri,2022,3,1/22/2022,1934,1797,20,243,55,77,21,89,23,39,,378,52,522,468
Missouri,2022,4,1/29/2022,1901,1775,24,250,47,86,27,83,22,34,,387,69,469,414
Missouri,2022,5,2/5/2022,1872,1741,26,235,44,68,20,63,36,40,11,395,77,430,378
Missouri,2022,6,2/12/2022,1745,1610,10,263,40,61,28,93,19,28,11,337,70,367,324
Missouri,2022,7,2/19/2022,1574,1443,17,281,23,56,18,84,25,33,,302,64,278,238
Missouri,2022,8,2/26/2022,1481,1351,26,238,38,50,33,75,18,38,13,336,61,159,130
Missouri,2022,9,3/5/2022,1423,1302,20,257,39,49,18,81,17,34,,323,65,122,107
Missouri,2022,10,3/12/2022,1427,1294,19,258,29,52,18,67,23,29,,335,64,95,81
Missouri,2022,11,3/19/2022,1325,1202,26,238,31,45,16,73,13,39,,280,75,64,46
Missouri,2022,12,3/26/2022,1317,1211,26,240,46,36,23,62,25,29,,297,64,61,49
Missouri,2022,13,4/2/2022,1232,1099,21,243,32,36,12,69,19,39,,289,48,39,28
